"Sample","Gender"
"US82900153_252489110256_S01_GE2_105_Jan09","M"
"US82900153_252489110257_S01_GE2_105_Jan09","F"
"US82900153_252489110260_S01_GE2_105_Jan09","M"
"US82900153_252489110261_S01_GE2_105_Jan09","M"
"US82900153_252489110262_S01_GE2_105_Jan09","F"
"US82900153_252489110263_S01_GE2_105_Jan09","M"
"US82900153_252489110264_S01_GE2_105_Jan09","M"
"US82900153_252489110265_S01_GE2_105_Jan09","M"
"US82900153_252489110266_S01_GE2_105_Jan09","M"
"US82900153_252489110267_S01_GE2_105_Jan09","F"
"US82900153_252489110268_S01_GE2_105_Jan09","F"
"US82900153_252489110269_S01_GE2_105_Jan09","M"
"US82900153_252489110270_S01_GE2_105_Jan09","M"
"US82900153_252489110272_S01_GE2_105_Jan09","F"
"US82900153_252489110273_S01_GE2_105_Jan09","F"
"US82900153_252489110274_S01_GE2_105_Jan09","F"
"US82900153_252489110275_S01_GE2_105_Jan09","M"
"US82900153_252489110276_S01_GE2_105_Jan09","M"
"US82900153_252489110277_S01_GE2_105_Jan09","M"
"US82900153_252489110278_S01_GE2_105_Jan09","M"
"US82900153_252489110279_S01_GE2_105_Jan09","M"
"US82900153_252489110280_S01_GE2_105_Jan09","M"
"US82900153_252489110281_S01_GE2_105_Jan09","M"
"US82900153_252489110282_S01_GE2_105_Jan09","M"
"US82900153_252489110283_S01_GE2_105_Jan09","M"
"US82900153_252489110284_S01_GE2_105_Jan09","M"
"US82900153_252489110285_S01_GE2_105_Jan09","M"
"US82900153_252489110286_S01_GE2_105_Jan09","M"
"US82900153_252489110287_S01_GE2_105_Jan09","M"
"US82900153_252489110288_S01_GE2_105_Jan09","M"
"US82900153_252489110289_S01_GE2_105_Jan09","M"
"US82900153_252489110290_S01_GE2_105_Jan09","M"
"US82900153_252489110291_S01_GE2_105_Jan09","M"
"US82900153_252489110292_S01_GE2_105_Jan09","F"
"US82900153_252489110293_S01_GE2_105_Jan09","F"
"US82900153_252489110296_S01_GE2_105_Jan09","F"
"US82900153_252489110297_S01_GE2_105_Jan09","F"
"US82900153_252489110309_S01_GE2_105_Jan09","M"
"US82900153_252489110310_S01_GE2_105_Jan09","M"
"US82900153_252489110311_S01_GE2_105_Jan09","M"
"US82900153_252489110312_S01_GE2_105_Jan09","M"
"US82900153_252489110313_S01_GE2_105_Jan09","M"
